,naive_bayes,svm,random_forest,gradient_boosting,logistic_regression
accuracy,0.9641,0.9853,0.982,0.9798,0.98
precision,0.9979,0.9718,0.9947,0.9561,0.9569
recall,0.7134,0.9081,0.8598,0.8785,0.8801
f1,0.831,0.9388,0.9221,0.9155,0.9166
std_accuracy,0.006,0.0038,0.0033,0.0014,0.0035
std_f1,0.0328,0.0158,0.0153,0.0069,0.0138
